Date,Time,Water Level,Temp,Barometric pressure,Compensated Pressure,Casing temperature,Min voltage,EXT POWER / SOLAR
YYYY/MM/DD,hh:mm:ss,m,C,mh2o,mH2O,C,V,V
DATE,TIME,P1,P2,P3,P4,P5,P6,P7
2024/09/25,00:15:00,14.844,17.15,10.399,4.445,11.4,3.16,0.207
2024/09/25,00:30:00,14.844,17.15,10.395,4.449,11.4,3.3,0.203
2024/09/25,00:45:00,14.844,17.15,10.396,4.448,11.4,3.3,0.199
2024/09/25,01:00:00,14.844,17.15,10.395,4.449,11.3,3.3,0.197
2024/09/25,01:15:00,14.844,17.15,10.395,4.449,11.2,3.31,0.199
2024/09/25,01:30:00,14.841,17.15,10.394,4.447,11.1,3.3,0.201
2024/09/25,01:45:00,14.841,17.15,10.394,4.447,11.1,3.3,0.198
2024/09/25,02:00:00,14.841,17.15,10.392,4.449,11,3.3,0.204
2024/09/25,02:15:00,14.841,17.15,10.395,4.446,10.9,3.3,0.193
2024/09/25,02:30:00,14.838,17.15,10.393,4.445,10.9,3.3,0.199
2024/09/25,02:45:00,14.838,17.15,10.394,4.444,10.8,3.3,0.198
2024/09/25,03:00:00,14.841,17.15,10.394,4.447,10.8,3.3,0.194
2024/09/25,03:15:00,14.841,17.15,10.397,4.444,10.7,3.3,0.193
2024/09/25,03:30:00,14.838,17.15,10.394,4.444,10.7,3.3,0.198
2024/09/25,03:45:00,14.838,17.15,10.397,4.441,10.6,3.3,0.198
2024/09/25,04:00:00,14.838,17.15,10.394,4.444,10.4,3.3,0.203
2024/09/25,04:15:00,14.838,17.15,10.392,4.446,10.3,3.3,0.199
2024/09/25,04:30:00,14.841,17.15,10.397,4.444,10.2,3.3,0.2
2024/09/25,04:45:00,14.838,17.15,10.397,4.441,10,3.3,0.196
2024/09/25,05:00:00,14.838,17.15,10.397,4.441,9.7,3.3,0.196
2024/09/25,05:15:00,14.841,17.15,10.397,4.444,9.4,3.3,0.201
2024/09/25,05:30:00,14.841,17.15,10.401,4.44,9,3.3,0.201
2024/09/25,05:45:00,14.844,17.15,10.4,4.444,8.6,3.3,0.2
2024/09/25,06:00:00,14.844,17.15,10.402,4.442,8.2,3.26,0.197
